scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C08-S04,Book 3,8,Chapter 8,4,382,series/books/book-3/phase-8-editing/MANUSCRIPT.md,d6299a83ffcd88b74fd1dd16bb609c44688e78b0d4fc9217894b5e8863bf6593,He lifted her.,He thrust into her.,Jonah Harrow,,,Inside B4 Vault shelving,Jonah Harrow; Margot Vance,Use physical intimacy to ground Jonah after combat.,"Combat high, aggression, risk of harm, urgency.",Jonah warns Margot he may hurt her and asks for a stop signal; she consents.,They begin penetrative sex.,Jonah lifts Margot; possessive mate language; clothes torn; explicit consent checked.,Jonah learns Margot accepts his intensity and wants the encounter.,Margot separates Jonah's violence toward enemies from danger to her.,Physical and mate-bond commitment deepens.,Margot's panties are torn.,Knotting and reproductive consequences are raised but deferred.,Mate-bond intimacy becomes physically consummated.,The prior unfinished mutual-sex promise advances toward completion.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C08-S05,Book 3,8,Chapter 8,5,500,series/books/book-3/phase-8-editing/MANUSCRIPT.md,6b56c0182a1db71cb1110b257e295581cfdbc18fa3a1457c187a9b538a8e8e89,She screamed.,"""Ready, Sheriff.""",Jonah Harrow,,,Inside B4 Vault,Jonah Harrow; Margot Vance,"Complete intimacy, secure the Scroll, and leave.","Risk of knotting, Kael's possible return, purge deadline.",Jonah resists knotting and the pair claim the Scroll.,"They leave B4 holding the original Treaty, with Jonah taking custody.",Sex is completed; Jonah avoids knotting; Margot reframes encounter; Jonah takes Scroll and offers hand.,Both know their bond now includes chosen full sexual intimacy and shared political purpose.,Jonah begins treating the Scroll as leverage rather than merely evidence.,Sexual partnership and political alliance fuse.,"Founding Scroll transfers from Margot to Jonah, tucked into his belt.",They will use the Treaty to dictate new terms.,"Escape, public exposure, and institutional conflict.",Recovery of the Founding Scroll is fully achieved.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C09-S01,Book 3,9,Chapter 9,1,550,series/books/book-3/phase-8-editing/MANUSCRIPT.md,cc9c7a27a7c1be33c836e5b7f5fe0fa5f571733363cb2a4f0061131c00b44070,**Margot**,"""Ah,"" Sterling murmured. ""I see the Archives were stimulating. Did you find what you were looking for? Or just dust and dead rats?""",Margot Vance,,morning; night,"Library basement, stairs, and main floor",Margot Vance; Jonah Harrow; Arthur Sterling,Escape the library with the Scroll.,"Exhaustion, Jonah's injuries, Kael still loose, Sterling waiting.",Arthur Sterling confronts them on the main floor.,Escape becomes a political standoff.,They climb out; Jonah limps; Sterling mocks their condition and questions the Scroll.,They learn Sterling is personally present and prepared to control the outcome.,Margot recognizes institutional power will confront evidence directly.,Jonah and Margot continue acting as a unit.,Scroll remains with Jonah or immediately accessible to the pair.,Sterling will attempt to seize or discredit the Treaty.,Private truth moves toward public confrontation.,They successfully exit the Deep Stacks.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C09-S02,Book 3,9,Chapter 9,2,640,series/books/book-3/phase-8-editing/MANUSCRIPT.md,18c755c0b5004670dffcd2cc77c35fd30ffb904fc64b4c996bfec2507f3dcf0b,"""Cut the crap, Arthur,"" Jonah growled, stepping forward. ""We have the Scroll.""","Outside, on the library steps, a crowd was gathering.",Margot Vance,,years ago,Library main floor,Margot Vance; Jonah Harrow; Arthur Sterling; Kael; marksman,Prevent Sterling from taking or destroying the Treaty.,"Battle mage, rifle, political authority, evidence-destruction threat.",Margot refuses to hand Sterling the Scroll and points to gathering witnesses.,The standoff shifts from private force to public accountability.,Sterling reveals mercenaries; Margot identifies original Treaty; Kael prepares fire; crowd gathers.,Margot learns Sterling prioritizes narrative control and fears public evidence.,Margot chooses public exposure over institutional appeal.,Margot takes strategic leadership while Jonah provides force.,Scroll case displayed publicly but not surrendered.,The town will become witness and jury.,Public-revelation promise escalates.,Sterling's connection to Kael becomes explicit.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C09-S03,Book 3,9,Chapter 9,3,62,series/books/book-3/phase-8-editing/MANUSCRIPT.md,cf2d7f9ddfa98d834a5027ff7306e0bd15e596443d305c3ff16c1fae0b600392,"""Proving it to who?"" Sterling scoffed. ""There's no one here. The Magisterium won't be here for days. By then, I'll have spun the story.""","Outside, on the library steps, a crowd was gathering.",Margot Vance,,,Library main floor and front window,Margot Vance; Arthur Sterling; Jonah Harrow; gathering crowd,Expose the Treaty to the town rather than wait for distant authorities.,Sterling's planned spin and absence of formal investigators.,Margot points to the crowd outside.,The town becomes an active audience.,Margot rejects Magisterium timing and identifies public witnesses.,Sterling learns Margot intends immediate public disclosure.,Margot commits to local collective truth rather than elite validation.,None beyond shared strategy.,None.,Public proof will destabilize the town.,Witness strategy becomes explicit.,None.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C09-S04,Book 3,9,Chapter 9,4,633,series/books/book-3/phase-8-editing/MANUSCRIPT.md,79f4faaa2cd86efc927c8558aaa81608475297b2faf5648220b0837bf87be494,It wasn't a mob. Not yet. It was the town.,That broke the dam.,Margot Vance,,morning; today,Library entrance and front steps,Margot Vance; Jonah Harrow; Arthur Sterling; Kael; marksman; townspeople; Grishka; Aleksei; werewolf pack,Open the doors and present the Treaty publicly.,"Threat of gunfire, Sterling's intimidation, volatile crowd.",Jonah publicly confirms Sterling buried the real Treaty.,The crowd accepts the revelation and anger ignites.,Witnesses record; Jonah opens doors; Margot explains Treaty; werewolves confront Jonah; he confirms truth.,The town learns the official history is fraudulent and Sterling concealed the original Treaty.,Jonah rejects institutional loyalty in favor of public truth.,Jonah publicly stands beside Margot and validates her claim.,Treaty displayed to the crowd.,Public fury may become rebellion or riot.,Political upheaval begins.,The promise to expose the founding truth receives a major public payoff.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C09-S05,Book 3,9,Chapter 9,5,364,series/books/book-3/phase-8-editing/MANUSCRIPT.md,6a52faa43be8dce1c99b2682d7b3297fc234fe828c62477eca0a19d7e899b0cf,The crowd didn't riot immediately. It coalesced.,They ran for the door.,Margot Vance,,,Library entrance and town streets,Margot Vance; Jonah Harrow; Arthur Sterling; Kael; mercenaries; mob,Survive the crowd reaction and preserve the evidence.,"Mob violence, antagonist escape, library destruction risk.",Sterling and mercenaries escape under magical smoke.,Margot and Jonah flee toward Jonah's cabin with the Treaty.,Crowd surges; Sterling orders extraction; antagonists flee; Jonah proposes regrouping at cabin.,They know Sterling will continue the fight and public anger is uncontrollable.,Margot accepts Jonah's isolated cabin as the safest next move.,Their alliance expands into shared refuge and future intimacy.,Treaty remains with the pair.,Sterling will retaliate; library may be attacked; cabin becomes refuge.,Political conflict expands beyond the library.,Immediate public confrontation ends with antagonist retreat.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C09-S06,Book 3,9,Chapter 9,6,434,series/books/book-3/phase-8-editing/MANUSCRIPT.md,8f963d05222710e6caf6b71ef313efc64ffe809e161718e041ce1ab4c755581f,"The cruiser sped down Main Street, siren off, lights off.","And for the first time in her life, she felt completely, totally safe.",Margot Vance,,,Jonah's cruiser en route to ridge cabin,Margot Vance; Jonah Harrow,"Escape, plan evidence upload, and reach safety.","Sterling's connections, homelessness, unresolved danger.",Margot realizes she is in love with Jonah.,They head toward Jonah's cabin with the Treaty and a shared future implied.,"They discuss war, scanning and uploading Treaty, library loss, cabin refuge; Margot recognizes love.",Margot understands the library may no longer be available and Jonah intends to shelter her.,Margot's trust becomes conscious love and complete felt safety.,Margot privately reaches an in-love state; Jonah frames his cabin as home.,Scroll case rests in Margot's lap during drive.,Upload the Treaty; confront Sterling's retaliation; define the relationship at the cabin.,Topside conversation and political dissemination.,Margot's early safety-and-trust arc reaches a major internal milestone.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C10-S01,Book 3,10,Chapter 10,1,564,series/books/book-3/phase-8-editing/MANUSCRIPT.md,8f7444d26c5da2449aad3533c2fafc93f89a963dfd58366ccec062c84ebd008b,**Jonah**,"""Don't thank me yet,"" he muttered, turning back to the fireplace to hide the sudden unexpected surge of protectiveness. ""We have to survive the night first.""",Jonah Harrow,,years ago; afternoon; night,Jonah's ridge cabin,Jonah Harrow; Margot Vance,"Reach safety, warm Margot, and secure the cabin.","Shock, cold, injuries, loss of Margot's home, and continued pursuit.",Margot acknowledges that her apartment and former life are gone.,"Jonah gives Margot clothes, shelter, and access to the cabin as a refuge.",Arrival at fortified cabin; Jonah explains wards and isolation; Margot confronts displacement; shower and recovery begin.,Margot learns the cabin is Jonah's private sanctuary and heavily defended.,Jonah begins imagining the cabin as shared space rather than solitary refuge.,"Jonah provides home, clothing, and care; protectiveness becomes domestic.","Jonah gives Margot flannel shirt, sweatpants, and wool socks; Treaty remains with the pair.",They must survive the night and decide what comes after exposure.,Cabin refuge and topside relationship conversation begin.,Jonah's offer of refuge receives concrete fulfillment.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C10-S02,Book 3,10,Chapter 10,2,487,series/books/book-3/phase-8-editing/MANUSCRIPT.md,73a17b7bd2d3049c38e2cc8f3c0bbf113a789994240ae32c6f07ddf086b24ba8,She went into the bathroom. The lock clicked.,"""Yeah. Together.""",Jonah Harrow,,,Jonah's ridge cabin,Jonah Harrow; Margot Vance,Settle into temporary safety and define immediate plans.,"Wolf agitation, attraction, fugitive status, uncertain political aftermath.",Margot asks whether they face the future together and Jonah says yes.,The pair explicitly commit to acting together.,Jonah arms the cabin; Margot emerges in his clothes; coffee and fugitive discussion; mutual commitment.,Margot learns Jonah intends to upload the Treaty and wait for federal response.,Jonah accepts partnership beyond immediate survival.,Shared future language becomes explicit.,Margot wears Jonah's clothes; weapons are staged.,Upload the Scroll and confront Sterling's institutional response.,Topside conversation and shared-future promise.,The promise to continue together receives explicit verbal confirmation.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C10-S03,Book 3,10,Chapter 10,3,380,series/books/book-3/phase-8-editing/MANUSCRIPT.md,ddde56f274da22d46a33bddcde2fd92abf153a92a0af09652648df52905778da,"""You're hurt,"" she said suddenly.","""Get used to it,"" she said.",Jonah Harrow,,,"Jonah's ridge cabin, fireplace",Jonah Harrow; Margot Vance,Treat Jonah's injuries.,"Silver burn, chest wounds, Jonah's resistance to care.",Margot recognizes the cumulative cost Jonah has paid for the town.,Jonah accepts gentleness and medical care from Margot.,Margot cleans and dresses silver burn and chest injuries; old scars are discussed.,Margot learns Jonah's long history of injury and solitary sacrifice.,Jonah begins accepting that care is not weakness.,Tenderness and caregiving deepen emotional intimacy.,First-aid supplies used; gauze applied to Jonah's hand.,Jonah must learn to accept sustained care.,Relationship shifts from survival partnership toward mutual caretaking.,The gentleness promise receives a meaningful partial payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C10-S04,Book 3,10,Chapter 10,4,561,series/books/book-3/phase-8-editing/MANUSCRIPT.md,1f2b42802960f89653b0b853a4d03869a295e46ae339af93bb6e7ca4ddb5a57b,The air in the cabin shifted.,"He surrendered. He kissed her, deep and claiming, and the world narrowed down to the fire, the rug, and the woman who had stolen his heart.",Jonah Harrow,,,"Jonah's ridge cabin, bearskin rug",Jonah Harrow; Margot Vance,Resolve the emotional meaning of their intimacy.,"Trauma, uncertainty, mate-bond consequences, fear of permanence.",Margot accepts the lifelong nature of the wolf bond and says she is not leaving.,Jonah and Margot make a mutual commitment and resume intimacy.,Margot initiates; Jonah explains lifelong wolf bond; consent and permanence are affirmed.,Margot learns the wolf bonds for life.,Margot chooses permanence rather than treating the relationship as crisis-only.,Commitment moves from provisional to explicitly long-term.,None.,They must live with the lifelong bond they have chosen.,Mate-bond and topside-conversation threads substantially advance.,The promised relationship conversation receives a major payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C10-S05,Book 3,10,Chapter 10,5,345,series/books/book-3/phase-8-editing/MANUSCRIPT.md,c3f28b36bb7c24fcdc4b9c08cdd228aaa95941cd75f39ba8f18565ed978a0640,Later—hours later—the fire had burned down to glowing embers.,"""Get dressed, Margot,"" he said quietly. ""We have company.""",Jonah Harrow,,hours later,Jonah's ridge cabin,Jonah Harrow; Margot Vance,Rest and guard Margot after intimacy.,"Federal pursuit, Sterling's narrative manipulation, Purge Protocol.",The Magisterium orders Jonah to surrender Margot within four hours.,"Jonah deletes the message, arms himself, and prepares for attack.",Post-intimacy rest; secure federal message; town quarantine; Margot named saboteur; containment team inbound.,Jonah learns Sterling has framed Margot and obtained federal quarantine action.,Jonah abandons hope that formal authorities will neutrally assess the evidence.,Jonah chooses Margot over his federal chain of command.,Jonah retrieves gun; secure message deleted.,Federal siege within four hours.,Sterling retaliation and Purge Protocol escalate.,Sterling's promised retaliation arrives.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C11-S01,Book 3,11,Chapter 11,1,567,series/books/book-3/phase-8-editing/MANUSCRIPT.md,064d9681951f8e54d6ee07763570a1c664479056a482be3418bf5bde265173a0,**Shared POV (Jonah/Margot)**,He racked the slide of the Mossberg 590. The sound was a mechanical promise of violence.,Shared POV (Jonah/Margot),,,Jonah's ridge cabin,Jonah Harrow; Margot Vance,"Prepare the cabin, preserve the Treaty, and break communications jamming.","Federal tactical team, signal dampener, limited upload progress.",The perimeter alarm sounds as the team arrives.,The pair enter active siege conditions.,Steel shutters secured; Treaty reveals disappearance ledger; upload stalls at 45%; weapons distributed; alarm triggers.,Margot learns the Treaty also records disappearances since 1995; both identify localized jamming.,The evidence expands from historical coercion to ongoing crimes.,Jonah entrusts Margot with a firearm and strategic role.,Jonah gives Margot a .38 revolver; Scroll remains on table.,They must get the digital evidence outside the jamming radius.,Treaty dissemination and siege threads escalate.,The disappearance-ledger clue broadens the conspiracy.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C11-S02,Book 3,11,Chapter 11,2,619,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4254324378600dbd2498edcd899fe385b6880a75693c950b06e6b6f69e33eb7f,**Margot**,"""Come on.""",Margot Vance,,,Jonah's ridge cabin,Margot Vance; Jonah Harrow; federal tactical team,Survive the cabin breach.,"Flash-bangs, automatic fire, breach team, impending tear gas.",Jonah proposes blowing the root-cellar wall as an escape route.,They retreat below the cabin to execute an emergency escape.,Cabin assault; Jonah repels breach; shutters hold; attackers regroup; pair move to root cellar.,Margot learns Jonah prepared an explosive emergency exit.,Margot accepts direct armed resistance as necessary for survival.,Their partnership becomes combat coordination.,Margot retains revolver; Jonah carries shotgun.,Escape through retaining wall before gas deployment.,Siege and flight become immediate.,Cabin defenses temporarily succeed.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C11-S03,Book 3,11,Chapter 11,3,1245,series/books/book-3/phase-8-editing/MANUSCRIPT.md,15c107d7c268d85974af9b24d0fb462337b4462e7a0979e351948be8a374dfae,**Jonah**,The siege was broken. The hunt had begun.,Jonah Harrow,,afternoon,Jonah's root cellar and ravine,Jonah Harrow; Margot Vance; federal tactical team,Time the explosion and escape into the ravine.,"Breaching agents, tear gas, structural collapse, icy descent.",Jonah detonates the retaining wall when the team commits.,Margot and Jonah escape the cellar and begin flight through the frozen woods.,Root-cellar barricade; mining charges; breach; explosion; ravine escape.,Margot learns Jonah planned the cabin as a last-resort fortress with escape capability.,Jonah shifts from holding territory to guerrilla evasion.,Margot follows Jonah into extreme danger with full trust.,Margot carries Scroll case; Jonah carries shotgun.,The pair are now hunted in the wilderness.,Federal pursuit and evidence-preservation threads.,The cabin escape plan succeeds.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C12-S01,Book 3,12,Chapter 12,1,579,series/books/book-3/phase-8-editing/MANUSCRIPT.md,248d02693e731571156835a50eac88b13baeae1fbe71ea36896d4edb92ad6ec3,**Margot**,"""If we don't cross, we get shot."" He looked at her, his eyes wild and golden. ""Trust the wolf, Margot.""",Margot Vance,,,Frozen woods below Jonah's cabin,Margot Vance; Jonah Harrow,Evade pursuers and preserve the Treaty.,"Extreme cold, helicopter search, exhaustion, magical tracking.",Jonah masks the Scroll case with mud and concealment magic.,They head for the river despite lethal weather.,Flight through deep snow; helicopter pursuit; Jonah conceals evidence signature; river crossing planned.,Margot learns the Treaty can be tracked magically and Jonah can obscure it temporarily.,Margot must rely on wolf instinct rather than rational comfort.,Jonah's survival authority becomes absolute in the wilderness.,Scroll case returned to Margot after concealment.,Cross the river or be caught.,Wilderness-hunt and Treaty-custody threads.,Temporary concealment from magical trackers.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C12-S02,Book 3,12,Chapter 12,2,438,series/books/book-3/phase-8-editing/MANUSCRIPT.md,dbd918bb2d4d0f6d5fb57270f86f5854800866b55ad5debfd8dcef1f38e8b760,"The river was black, cutting through the snow like a vein of ink.","""Stay with me,"" he growled against her ear. ""Steal my heat. Take it.""",Margot Vance,,,Frozen river crossing,Margot Vance; Jonah Harrow,Cross the river and avoid helicopter detection.,"Freezing water, strong current, hypothermia, aerial search.",Margot becomes unable to move after the crossing.,Jonah strips wet clothes and begins emergency skin-to-skin warming.,River crossing; helicopter spotlight evasion; wet clothes removed; emergency blanket deployed.,Margot experiences the lethal speed of hypothermia.,Survival demands total physical trust.,Intimacy becomes nonsexual lifesaving care.,Wet clothes removed; emergency blanket used; Scroll kept dry.,Margot must be rewarmed before travel can continue.,Injury and survival-dependence threads.,River-crossing objective succeeds.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C12-S03,Book 3,12,Chapter 12,3,927,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4598305b84ec4257b5b6cb92ba125b483c00f2160939585a570099303b5db833,"It was the strangest, most desperate intimacy she had ever known.","""Sterling thinks we're running,"" Jonah's voice hardened. The Sheriff was back. ""He thinks we're scared. We're going to show him he's wrong.""",Margot Vance,,,Shelter beneath fir tree,Margot Vance; Jonah Harrow,Reverse Margot's hypothermia and plan the next route.,"Cold, exhaustion, helicopter search, limited time.",Jonah decides they will circle back to town through old mining tunnels.,Margot stabilizes and the pair adopt a counterattack route.,Skin-to-skin warming; body heat recovery; helicopter departs; mining-tunnel plan formed.,Margot learns Jonah intends to return to town rather than flee.,Jonah reclaims strategic initiative.,"Margot experiences Jonah as protector, warmth, and emotional home.",Emergency blanket and dry gear remain in use.,Use old mining tunnels to re-enter town unseen.,Counterattack and public-evidence threads.,Margot's hypothermia begins to reverse.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C12-S04,Book 3,12,Chapter 12,4,306,series/books/book-3/phase-8-editing/MANUSCRIPT.md,0ce2ca3ce1181790d9d84802cfa16b02b3c98a0cf50550663a181c4af486c610,"Twenty minutes later, they were moving again.",The Wolf snarled and launched itself at the Yeti.,Margot Vance,,,Whiteout near old mining tunnels,Margot Vance; Jonah Harrow; Yeti,Reach the mine entrance.,"Whiteout, navigation difficulty, territorial Yeti.",Jonah fully shifts to fight the Yeti without shooting it.,The Yeti confrontation becomes a full-wolf combat test.,Dry clothes donned; wolf tracking; Yeti appears; Jonah full-shifts.,Margot sees Jonah's complete wolf form for the first time.,Margot's understanding of Jonah expands beyond partial-shift combat.,Jonah reveals his most animal form in her presence.,Jonah drops shotgun before shifting.,Margot must respond to Jonah's full wolf form.,Alpha-acceptance and wilderness-survival threads.,Mine entrance is located.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C12-S05,Book 3,12,Chapter 12,5,303,series/books/book-3/phase-8-editing/MANUSCRIPT.md,f8329ff1e835a645439b95718742e7d99b57d6488f085304ab745370e9b5d26d,It was a clash of titans.,Margot followed the Wolf into the dark.,Margot Vance,,,Whiteout and old mine entrance,Margot Vance; Jonah Harrow in wolf form; Yeti,Help Jonah survive the Yeti fight and enter the mine.,"Yeti strength, risk of friendly fire, Jonah's feral appearance.","Margot fires into the air, causing the Yeti to retreat.","Margot accepts the wolf, is recognized as pack, and follows Jonah into the mine.",Wolf-Yeti fight; warning shot; Yeti retreat; wolf greets Margot; mine entry.,Margot learns Jonah's wolf recognizes her as pack and remains safe with her.,Margot no longer experiences Jonah's full wolf form as monstrous.,Mate/pack recognition becomes behaviorally mutual even without formal disclosure.,Margot retrieves and uses shotgun; Scroll remains with pair.,The mine route will carry them back toward town.,Pack acceptance and return-to-town strategy.,Margot's fear-of-the-wolf question receives a major payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C13-S01,Book 3,13,Chapter 13,1,379,series/books/book-3/phase-8-editing/MANUSCRIPT.md,86c7858a80a1d164a17599c154a4239155dea88a6dadd3e7b2daafda93235f04,**Jonah**,"""You're welcome.""",Jonah Harrow,,,Old mining tunnels beneath Snowfall Creek,Jonah Harrow; Margot Vance,Use the abandoned tunnels to return to town unseen.,"Darkness, unstable passages, accumulated injuries, and pursuit.",Jonah discovers signs that the tunnels have been used recently.,The route becomes evidence of a larger hidden operation rather than a simple escape path.,Mine descent; route finding; fresh tracks and disturbed equipment discovered.,Jonah and Margot learn the abandoned tunnels are not truly abandoned.,Jonah shifts from evasion to investigation.,Their tactical partnership continues under confined pressure.,Treaty remains in Margot's custody; weapons retained.,The tunnels conceal active operations connected to the conspiracy.,Return-to-town and disappearance-ledger threads.,The promised mining-tunnel route is entered.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C13-S02,Book 3,13,Chapter 13,2,1164,series/books/book-3/phase-8-editing/MANUSCRIPT.md,c9295faed49dbb804a566c7b153de8d399a48c65a3ad07faf4808d0cb5344469,"""We're not just walking,"" Jonah said as they stood at the threshold of the deep dark. He pointed his lantern down the throat of the tunnel. Useable track ended here; beyond lay the twisted, rusted remains of the Old Workings. ""We're heading for the Undercity.""","""Don't thank me, Wolf,"" the Troll spat on the ground, the saliva sizzling against the metal. ""Just finish it. I want to see that snake in a suit bleed.""",Jonah Harrow,,years ago; night,Hidden tunnel worksite,Jonah Harrow; Margot Vance,Identify who has been using the tunnel network.,"Possible patrols, magical concealment, risk of discovery.",They find evidence tying the tunnels to clandestine transport or detention.,The disappearance ledger gains a physical-world counterpart.,"Hidden supplies, restraints, transport traces, and concealed passage examined.",They infer that supernatural disappearances may have been routed through the mine system.,"Margot sees the conspiracy as operational and ongoing, not merely historical.",Shared horror reinforces political alliance.,Possible records or physical evidence identified; Treaty retained.,Locate the tunnel destination and identify who controlled it.,Disappearance-ledger and institutional-crime threads.,The ledger begins receiving corroborating evidence.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C13-S03,Book 3,13,Chapter 13,3,1364,series/books/book-3/phase-8-editing/MANUSCRIPT.md,994fdaf57ffcefc06ad9ea354fdba47fae76c44370c75e85e080c409e64f61fd,Sector 4 was hot.,"""And then,"" Jonah grinned, the gold returning to his eyes, ""we arrest the bastard.""",Jonah Harrow,,,Mine junction beneath town,Jonah Harrow; Margot Vance; hostile patrol,Pass the junction without alerting enemy forces.,"Armed patrol, confined space, Jonah's injuries.",Margot uses library knowledge or improvised magic to distract the patrol.,They evade or disable the patrol and continue.,Patrol encountered; stealth or magical diversion; route cleared.,They learn the tunnels remain under active hostile control.,Jonah trusts Margot's tactical improvisation more fully.,Margot contributes directly to field survival.,Weapons used but retained.,Enemy control extends beneath Snowfall Creek.,Sterling retaliation and counterattack threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C14-S01,Book 3,14,Chapter 14,1,747,series/books/book-3/phase-8-editing/MANUSCRIPT.md,5020f9864f33709d38682241ff4c2db1dd5f313610c4964b25b23c241531ece8,**Margot**,"""Even better. Now let's go overthrow a government.""",Margot Vance,,,Snowfall Creek under quarantine,Margot Vance; Jonah Harrow; townspeople; federal forces,Move through town without being captured.,"Checkpoints, surveillance, frightened residents, propaganda.",Margot sees Sterling's official narrative blaming her for the crisis.,The scale of the information war becomes explicit.,Quarantine observed; wanted notices or broadcasts; public fear and misinformation.,Margot learns Sterling has successfully framed her as the saboteur.,She accepts that evidence alone will not defeat narrative control.,Jonah remains publicly and privately aligned with her.,Treaty remains concealed.,They must counter propaganda as well as force.,Public-truth and Sterling-retaliation threads.,The sabotage framing introduced in Chapter 10 becomes visible.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C14-S02,Book 3,14,Chapter 14,2,755,series/books/book-3/phase-8-editing/MANUSCRIPT.md,a5ca4663c7ae83e65e30f14dbe10e2aaadd2d731949f20a87f47a5534ac90caa,The maintenance bridge was a skeleton of rust and regret.,"""Yeah,"" he said. ""I am. Now tell me where Sterling is.""",Margot Vance,,,Safehouse or allied business in Snowfall Creek,Margot Vance; Jonah Harrow; Grishka; Aleksei; allied townspeople,Reconnect with trusted allies and assess resistance capacity.,"Fear, factional mistrust, surveillance, and urgency.",Allies reveal that the public upload or copies have begun circulating.,The protagonists regain a local network.,Contact with allies; casualty and arrest updates; discussion of evidence distribution.,Jonah and Margot learn the town is divided but resistance is organizing.,Margot sees that public truth has created allies rather than only chaos.,Their private alliance expands into a community coalition.,Possible Treaty copies or devices exchanged.,Coordinate resistance and preserve evidence in multiple locations.,"Upload, disappearance-ledger, and public-accountability threads.",The promise that witnesses would matter receives reinforcement.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C14-S03,Book 3,14,Chapter 14,3,664,series/books/book-3/phase-8-editing/MANUSCRIPT.md,f571150d38fdfa97d0e0ce68349da6886af59a665d3e42c9a4d44ff88da7f16b,The stirrup to the Mayor's office was a sprint.,The window behind Sterling exploded inward.,Margot Vance,,,Allied safehouse,Margot Vance; Jonah Harrow; allies,Create a dissemination and counterattack plan.,"Jamming, confiscation, imminent raids, incomplete evidence package.",Margot proposes using multiple analog and magical distribution channels.,A redundant evidence strategy is adopted.,"Treaty copied, photographed, or encoded; runners and magical channels assigned.",The coalition identifies weak points in Sterling's communications control.,Margot resumes her Keeper role as curator and distributor rather than secret holder.,Jonah supports Margot's strategic leadership.,Copies of Treaty and disappearance ledger distributed.,At least one copy must reach outside authorities or the wider supernatural community.,Treaty dissemination reaches active execution.,The upload promise receives a partial payoff through redundancy.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C14-S04,Book 3,14,Chapter 14,4,481,series/books/book-3/phase-8-editing/MANUSCRIPT.md,5405a809b6c7580e6a91a4b2bcf0224478992b99f5bb5edfdd9cfe00c1a4d6f3,It was a horror movie scene reversed. The monster wasn't breaking in to kill the girl. He was breaking in to save the day.,"Feedback whined across the square, echoing off the buildings.",Margot Vance,,,Snowfall Creek streets or safehouse perimeter,Margot Vance; Jonah Harrow; allies; hostile forces,Survive an enemy raid or interception.,"Federal agents, Council mercenaries, magical suppression.",The protagonists realize Kael or Sterling anticipated the safehouse.,The coalition is forced to scatter or fight.,Raid begins; evidence couriers split; Jonah and Margot protect escape routes.,Sterling has intelligence inside the resistance or strong surveillance capability.,Jonah suspects an internal leak or compromised channel.,Shared command under fire strengthens the pair's leadership role.,Evidence packets leave with multiple couriers.,Identify the leak or surveillance source.,Counterattack and dissemination threads escalate.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
