event_id,scene_id,chapter,event_label,participant_status,type_status,continuity_status,review_flags
N-EVT-B03-C23-S03-002,B03-C23-S03,23,Jonah shifts and attacks hydraulics,resolved,resolved,cross-scene,
N-EVT-B03-C23-S03-003,B03-C23-S03,23,Aleksei distracts,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S03-004,B03-C23-S03,23,Label Gun fired,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S04-001,B03-C23-S04,23,Golem fights sorting system,resolved,resolved,local-sequence,continuity-group-local
N-EVT-B03-C23-S04-002,B03-C23-S04,23,label smokes,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S04-003,B03-C23-S04,23,stamp identified,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S04-004,B03-C23-S04,23,fastball launch begins,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S05-001,B03-C23-S05,23,Margot lands on Golem,resolved,resolved,local-sequence,continuity-group-local
N-EVT-B03-C23-S05-002,B03-C23-S05,23,stamps it,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S05-003,B03-C23-S05,23,rollers accelerate,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S05-004,B03-C23-S05,23,Jonah uses Librarian's Shush,resolved,review,cross-scene,type-review
N-EVT-B03-C23-S05-005,B03-C23-S05,23,Golem falls into vortex,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C23-S06-001,B03-C23-S06,23,Casualty check,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S06-002,B03-C23-S06,23,Grishka survives,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C23-S06-003,B03-C23-S06,23,Valerius establishes perimeter and containment grid,resolved,review,cross-scene,type-review
N-EVT-B03-C23-S06-004,B03-C23-S06,23,offensive decision,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S01-001,B03-C24-S01,24,Supply status reviewed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S01-002,B03-C24-S01,24,jamming analyzed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S01-003,B03-C24-S01,24,logging station identified,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S01-004,B03-C24-S01,24,Aleksei and Sarah join mission,resolved,review,cross-scene,type-review
N-EVT-B03-C24-S02-001,B03-C24-S02,24,Coal-chute escape,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S02-002,B03-C24-S02,24,patrol evaded,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S02-003,B03-C24-S02,24,forest hunt,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S02-004,B03-C24-S02,24,logging station reconnoitered,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S03-001,B03-C24-S03,24,Guards knocked unconscious,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S03-002,B03-C24-S03,24,shack breached,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S03-003,B03-C24-S03,24,geothermal backup and transmitter activated,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C24-S04-001,B03-C24-S04,24,"Jonah broadcasts town identity, siege facts, and plea for witnesses",resolved,resolved,cross-scene,
N-EVT-B03-C24-S04-002,B03-C24-S04,24,transmitter destroyed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S04-003,B03-C24-S04,24,escape begins,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S05-001,B03-C24-S05,24,Team scatters,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S05-002,B03-C24-S05,24,Jonah full-shifts,resolved,resolved,cross-scene,granularity-review
N-EVT-B03-C24-S05-003,B03-C24-S05,24,net and taser strike,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C24-S05-004,B03-C24-S05,24,earth roots attack soldiers,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C24-S05-005,B03-C24-S05,24,cliff jump,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C24-S06-001,B03-C24-S06,24,Jonah falls into icy river,resolved,review,cross-scene,type-review
N-EVT-B03-C24-S06-002,B03-C24-S06,24,reaches bank naked and exhausted,resolved,resolved,local-sequence,continuity-group-local
N-EVT-B03-C24-S06-003,B03-C24-S06,24,civilian convoy approaches town,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C25-S01-001,B03-C25-S01,25,Jonah returns through coal chute,resolved,review,cross-scene,type-review
N-EVT-B03-C25-S01-002,B03-C25-S01,25,reunion,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C25-S01-003,B03-C25-S01,25,broadcast success confirmed,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C25-S01-004,B03-C25-S01,25,Jonah treated for cold exposure,resolved,review,cross-scene,type-review
N-EVT-B03-C25-S02-001,B03-C25-S02,25,Convoy arrives,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C25-S02-002,B03-C25-S02,25,cameras record,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C25-S02-003,B03-C25-S02,25,Jonah confronts Valerius,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C25-S02-004,B03-C25-S02,25,Valerius triggers backup system,resolved,review,cross-scene,type-review
N-EVT-B03-C25-S03-001,B03-C25-S03,25,Backup signal disperses,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C25-S03-002,B03-C25-S03,25,"Trolls, Vampires, and Wolves go feral",resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C25-S03-003,B03-C25-S03,25,civilians and cameramen are attacked,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C25-S04-001,B03-C25-S04,25,Grey Guard uses tranquilizer fire to shape violence toward cameras,resolved,review,cross-scene,type-review
N-EVT-B03-C25-S04-002,B03-C25-S04,25,defenders lose control,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C25-S04-003,B03-C25-S04,25,Margot dragged inside,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C25-S04-004,B03-C25-S04,25,Jonah left outside,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C25-S05-001,B03-C25-S05,25,Margot commits to catching Jonah,resolved,resolved,cross-scene,
N-EVT-B03-C25-S05-002,B03-C25-S05,25,alchemy station assembled,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C25-S05-003,B03-C25-S05,25,cure plan formed,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C25-S06-001,B03-C25-S06,25,Alchemy workspace prepared,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C25-S06-002,B03-C25-S06,25,dragon's blood antiviral process initiated,resolved,review,cross-scene,type-review
N-EVT-B03-C26-S01-001,B03-C26-S01,26,Virus intensifies,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S01-002,B03-C26-S01,26,hallucinations begin,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S01-003,B03-C26-S01,26,rat killed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S01-004,B03-C26-S01,26,Jonah uses scent to navigate,resolved,review,cross-scene,type-review
N-EVT-B03-C26-S02-001,B03-C26-S02,26,Ruined bar explored,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S02-002,B03-C26-S02,26,whiskey used to blunt rage,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C26-S02-003,B03-C26-S02,26,civilian enters,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C26-S02-004,B03-C26-S02,26,Jonah resists attack,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C26-S03-001,B03-C26-S03,26,Jonah locks himself in drunk tank,resolved,review,cross-scene,type-review
N-EVT-B03-C26-S03-002,B03-C26-S03,26,hallucinations worsen,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S03-003,B03-C26-S03,26,CCTV contact with Margot established,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C26-S04-001,B03-C26-S04,26,Kill squad arrives,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C26-S04-002,B03-C26-S04,26,Margot activates PA counter-signal,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C26-S04-003,B03-C26-S04,26,Jonah vomits black ichor,resolved,review,cross-scene,type-review
N-EVT-B03-C26-S04-004,B03-C26-S04,26,rifles aimed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S05-001,B03-C26-S05,26,Lights fail,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S05-002,B03-C26-S05,26,Silas attacks soldiers,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C26-S05-003,B03-C26-S05,26,lock rusts away,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S05-004,B03-C26-S05,26,Jonah freed,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C26-S06-001,B03-C26-S06,26,Silas uses Notice-Me-Not and blind door,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C26-S06-002,B03-C26-S06,26,reunion in B4,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S06-003,B03-C26-S06,26,virus mechanism explained,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C26-S06-004,B03-C26-S06,26,train robbery proposed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S01-001,B03-C27-S01,27,Train layout reviewed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S01-002,B03-C27-S01,27,derailment rejected,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S01-003,B03-C27-S01,27,boarding strategy formed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S01-004,B03-C27-S01,27,zip-line tower selected,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C27-S02-001,B03-C27-S02,27,Tower climbed,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C27-S02-002,B03-C27-S02,27,Iron Horse approaches,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C27-S02-003,B03-C27-S02,27,zip-line route assessed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S02-004,B03-C27-S02,27,Aleksei jumps,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S03-001,B03-C27-S03,27,Aleksei disables turret,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C27-S03-002,B03-C27-S03,27,Margot and others zip-line aboard,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C27-S03-003,B03-C27-S03,27,Jonah destroys mounted gun,resolved,resolved,cross-scene,
N-EVT-B03-C27-S03-004,B03-C27-S03,27,hatch decoded,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S04-001,B03-C27-S04,27,Server-car firefight,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S04-002,B03-C27-S04,27,Shock Troopers defeated,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S04-003,B03-C27-S04,27,telemetry examined,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S04-004,B03-C27-S04,27,Jackson Harrow identified as fuel,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C27-S05-001,B03-C27-S05,27,Jonah charges through sleeper car,resolved,review,cross-scene,type-review
N-EVT-B03-C27-S05-002,B03-C27-S05,27,guards defeated,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C27-S05-003,B03-C27-S05,27,Valerius confronted,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C27-S05-004,B03-C27-S05,27,dam collision announced,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S01-001,B03-C28-S01,28,Jonah fights Valerius,resolved,resolved,cross-scene,granularity-review
N-EVT-B03-C28-S01-002,B03-C28-S01,28,Margot attacks Jackson's tank,resolved,resolved,local-sequence,continuity-group-local
N-EVT-B03-C28-S01-003,B03-C28-S01,28,throttle control is destroyed,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C28-S02-001,B03-C28-S02,28,Roof combat,unresolved,review,local-sequence,participant-unresolved;granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S02-002,B03-C28-S02,28,coupling pin removed,unresolved,review,local-sequence,participant-unresolved;granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S02-003,B03-C28-S02,28,safety-chain problem revealed,unresolved,review,local-sequence,participant-unresolved;granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S03-001,B03-C28-S03,28,Margot breaks tank,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C28-S03-002,B03-C28-S03,28,Jackson freed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S03-003,B03-C28-S03,28,Emitter destroyed,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C28-S03-004,B03-C28-S03,28,Jonah tackles Valerius,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C28-S04-001,B03-C28-S04,28,Safety chain severed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S04-002,B03-C28-S04,28,rear train brakes,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S04-003,B03-C28-S04,28,Valerius parachutes away,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C28-S04-004,B03-C28-S04,28,locomotive reaches dam wall,resolved,resolved,local-sequence,continuity-group-local
N-EVT-B03-C28-S05-001,B03-C28-S05,28,Locomotive crashes,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S05-002,B03-C28-S05,28,engine enters reservoir,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C28-S05-003,B03-C28-S05,28,survivors reach surface,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S05-004,B03-C28-S05,28,dam holds despite cracking,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C28-S06-001,B03-C28-S06,28,Jonah shifts human,resolved,resolved,cross-scene,granularity-review
N-EVT-B03-C28-S06-002,B03-C28-S06,28,Jackson remains wolf but regains awareness,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C28-S06-003,B03-C28-S06,28,father-son contact,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C28-S06-004,B03-C28-S06,28,town status checked,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S01-001,B03-C29-S01,29,Return walk,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S01-002,B03-C29-S01,29,helicopter spotted,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C29-S01-003,B03-C29-S01,29,Margot carries Founding Scroll,resolved,review,cross-scene,type-review
N-EVT-B03-C29-S01-004,B03-C29-S01,29,Jonah ordered to paramedics,resolved,review,cross-scene,type-review
N-EVT-B03-C29-S02-001,B03-C29-S02,29,Sterling caught packing cash,resolved,review,cross-scene,type-review
N-EVT-B03-C29-S02-002,B03-C29-S02,29,betrayal confessed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S02-003,B03-C29-S02,29,Margot condemns him,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S03-001,B03-C29-S03,29,Valerius claims he can still prove the town failed,resolved,review,cross-scene,type-review
N-EVT-B03-C29-S03-002,B03-C29-S03,29,Margot invokes Charter and House Rules,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C29-S04-001,B03-C29-S04,29,Fire absorbed,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S04-002,B03-C29-S04,29,gravity blocked,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S04-003,B03-C29-S04,29,helicopter immobilized,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C29-S04-004,B03-C29-S04,29,access revoked,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S05-001,B03-C29-S05,29,Bullet becomes paper moth,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C29-S05-002,B03-C29-S05,29,Valerius flattens into parchment,resolved,review,cross-scene,type-review
N-EVT-B03-C29-S05-003,B03-C29-S05,29,pilot surrenders,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C29-S06-001,B03-C29-S06,29,Margot reports Valerius processed,resolved,resolved,cross-scene,
N-EVT-B03-C29-S06-002,B03-C29-S06,29,Jackson receives care,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S06-003,B03-C29-S06,29,victory acknowledged,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C29-S06-004,B03-C29-S06,29,pair return to library,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C30-S01-001,B03-C30-S01,30,Businesses reopen,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S01-002,B03-C30-S01,30,supernatural residents work openly,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C30-S01-003,B03-C30-S01,30,journalists remain,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S01-004,B03-C30-S01,30,Silas gives interviews,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S01-005,B03-C30-S01,30,library doors become transparent,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C30-S02-001,B03-C30-S02,30,Valerius book shelved,resolved,review,cross-scene,granularity-review;type-review
N-EVT-B03-C30-S02-002,B03-C30-S02,30,Integration Act and Special Administrative Zone established,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C30-S02-003,B03-C30-S02,30,Margot named Administrator,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S03-001,B03-C30-S03,30,Cabin restored,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S03-002,B03-C30-S03,30,no-more-secrets agreement,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S03-003,B03-C30-S03,30,consensual intimacy,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C30-S03-004,B03-C30-S03,30,love and relief shared through bond,resolved,resolved,cross-scene,
N-EVT-B03-C30-S04-001,B03-C30-S04,30,Coffee conversation,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S04-002,B03-C30-S04,30,old badge transferred,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S04-003,B03-C30-S04,30,Jackson plans museum work with Silas,resolved,review,cross-scene,type-review
N-EVT-B03-C30-S05-001,B03-C30-S05,30,Council meeting,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S05-002,B03-C30-S05,30,school and blood-drive agenda,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C30-S05-003,B03-C30-S05,30,statue unveiled,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S05-004,B03-C30-S05,30,Silas presides as Speaker,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C30-S06-001,B03-C30-S06,30,Black sedan arrives,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C30-S06-002,B03-C30-S06,30,Cian confronts Aleksei,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S06-003,B03-C30-S06,30,father-survival tease,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S06-004,B03-C30-S06,30,Necronomicon request,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C30-S06-005,B03-C30-S06,30,Jonah and Margot kiss and prepare,resolved,review,cross-scene,type-review
