event_id,scene_id,event_label,continuity_group_id,reason
N-EVT-B03-C19-S04-002,B03-C19-S04,B4 arsenal opened,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S05-003,B03-C19-S05,Margot fires magical harpoon,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C20-S01-001,B03-C20-S01,Green neurotoxin fills atrium,CH20-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C20-S01-002,B03-C20-S01,defenders collapse,CH20-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C20-S02-001,B03-C20-S02,Wolf hunts Margot through iron forest,CH20-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C20-S02-002,B03-C20-S02,shadow interferes,CH20-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C20-S02-003,B03-C20-S02,Margot becomes pages and ash,CH20-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C20-S03-001,B03-C20-S03,Margot drags Jonah to safety,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C20-S03-002,B03-C20-S03,occupied library seen under searchlights,CH20-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S01-001,B03-C21-S01,Troll barricades built,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S01-002,B03-C21-S01,wolf trenches dug,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S01-003,B03-C21-S01,town fortified,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S01-004,B03-C21-S01,Jonah recognizes command responsibility,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S02-001,B03-C21-S02,Fire Elemental installed in furnace,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S02-002,B03-C21-S02,ley-line capacitor powered,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S02-003,B03-C21-S02,wards strengthened,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S03-001,B03-C21-S03,Blade of Silas examined,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S03-002,B03-C21-S03,dark artifacts debated,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S04-001,B03-C21-S04,Topographic map reviewed,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S04-003,B03-C21-S04,Trolls assigned as living armor,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S05-001,B03-C21-S05,Jonah rejects abandoning Margot,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S05-003,B03-C21-S05,emotional confession,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S05-004,B03-C21-S05,advancing army detected,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S06-002,B03-C21-S06,anti-magic phalanx revealed,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C21-S06-004,B03-C21-S06,town answers with armed defiance,CH21-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S01-002,B03-C22-S01,trench defense collapses,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S01-003,B03-C22-S01,wounded defenders retreat,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S01-004,B03-C22-S01,plasma cutter attacks the oak doors,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S02-001,B03-C22-S02,Oak doors glow from plasma cutter,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S02-003,B03-C22-S02,Margot positions defenders and prepares floor mechanism,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S03-001,B03-C22-S03,Floor rotates,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S03-002,B03-C22-S03,gravity follows,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S04-002,B03-C22-S04,terms exchanged,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S04-004,B03-C22-S04,Jonah reads her real plan,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S05-001,B03-C22-S05,Margot consults the Fire Elemental,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S05-002,B03-C22-S05,enemy construct approaches,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S05-003,B03-C22-S05,Siege Golem revealed,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S06-001,B03-C22-S06,Siege Golem attacks,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S06-002,B03-C22-S06,Grishka is thrown into fountain,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C22-S06-003,B03-C22-S06,Golem raises both arms to break through,CH22-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S01-001,B03-C23-S01,Golem destroys interior,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S01-002,B03-C23-S01,Grishka wounded,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S01-003,B03-C23-S01,Margot analyzes construct rules,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S01-004,B03-C23-S01,loophole idea forms,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S02-001,B03-C23-S02,Old Index searched,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S02-002,B03-C23-S02,Golem classified,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S02-003,B03-C23-S02,Trans-Dimensional Oversize Returns chute requested,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S02-004,B03-C23-S02,Label Gun loaded,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S03-001,B03-C23-S03,Margot rides book cart,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S03-002,B03-C23-S03,Jonah shifts and attacks hydraulics,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S03-003,B03-C23-S03,Aleksei distracts,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S03-004,B03-C23-S03,Label Gun fired,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S04-001,B03-C23-S04,Golem fights sorting system,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S04-002,B03-C23-S04,label smokes,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S04-003,B03-C23-S04,stamp identified,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S04-004,B03-C23-S04,fastball launch begins,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S05-001,B03-C23-S05,Margot lands on Golem,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S05-002,B03-C23-S05,stamps it,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S05-003,B03-C23-S05,rollers accelerate,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S05-004,B03-C23-S05,Jonah uses Librarian's Shush,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S05-005,B03-C23-S05,Golem falls into vortex,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S06-001,B03-C23-S06,Casualty check,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S06-002,B03-C23-S06,Grishka survives,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C23-S06-004,B03-C23-S06,offensive decision,CH23-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S01-001,B03-C24-S01,Supply status reviewed,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S01-002,B03-C24-S01,jamming analyzed,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S01-003,B03-C24-S01,logging station identified,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S02-001,B03-C24-S02,Coal-chute escape,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S02-002,B03-C24-S02,patrol evaded,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S02-003,B03-C24-S02,forest hunt,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S02-004,B03-C24-S02,logging station reconnoitered,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S03-001,B03-C24-S03,Guards knocked unconscious,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S03-002,B03-C24-S03,shack breached,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S03-003,B03-C24-S03,geothermal backup and transmitter activated,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S04-002,B03-C24-S04,transmitter destroyed,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S04-003,B03-C24-S04,escape begins,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S05-001,B03-C24-S05,Team scatters,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S05-002,B03-C24-S05,Jonah full-shifts,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S05-003,B03-C24-S05,net and taser strike,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S05-004,B03-C24-S05,earth roots attack soldiers,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S05-005,B03-C24-S05,cliff jump,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S06-001,B03-C24-S06,Jonah falls into icy river,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S06-002,B03-C24-S06,reaches bank naked and exhausted,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C24-S06-003,B03-C24-S06,civilian convoy approaches town,CH24-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S01-001,B03-C25-S01,Jonah returns through coal chute,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S01-002,B03-C25-S01,reunion,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S01-003,B03-C25-S01,broadcast success confirmed,TOWN-HALL-UPRISING,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S01-004,B03-C25-S01,Jonah treated for cold exposure,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S02-001,B03-C25-S02,Convoy arrives,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S02-002,B03-C25-S02,cameras record,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S02-003,B03-C25-S02,Jonah confronts Valerius,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S03-001,B03-C25-S03,Backup signal disperses,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S03-002,B03-C25-S03,"Trolls, Vampires, and Wolves go feral",CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S03-003,B03-C25-S03,civilians and cameramen are attacked,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S04-002,B03-C25-S04,defenders lose control,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S04-003,B03-C25-S04,Margot dragged inside,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S04-004,B03-C25-S04,Jonah left outside,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S05-001,B03-C25-S05,Margot commits to catching Jonah,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S05-002,B03-C25-S05,alchemy station assembled,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C25-S06-001,B03-C25-S06,Alchemy workspace prepared,CH25-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S01-001,B03-C26-S01,Virus intensifies,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S01-002,B03-C26-S01,hallucinations begin,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S01-003,B03-C26-S01,rat killed,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S01-004,B03-C26-S01,Jonah uses scent to navigate,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S02-001,B03-C26-S02,Ruined bar explored,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S02-002,B03-C26-S02,whiskey used to blunt rage,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S02-003,B03-C26-S02,civilian enters,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S02-004,B03-C26-S02,Jonah resists attack,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S03-001,B03-C26-S03,Jonah locks himself in drunk tank,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S03-002,B03-C26-S03,hallucinations worsen,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S03-003,B03-C26-S03,CCTV contact with Margot established,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S04-001,B03-C26-S04,Kill squad arrives,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S04-002,B03-C26-S04,Margot activates PA counter-signal,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S04-003,B03-C26-S04,Jonah vomits black ichor,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S04-004,B03-C26-S04,rifles aimed,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S05-001,B03-C26-S05,Lights fail,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S05-002,B03-C26-S05,Silas attacks soldiers,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S05-003,B03-C26-S05,lock rusts away,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S05-004,B03-C26-S05,Jonah freed,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S06-001,B03-C26-S06,Silas uses Notice-Me-Not and blind door,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S06-002,B03-C26-S06,reunion in B4,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S06-003,B03-C26-S06,virus mechanism explained,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C26-S06-004,B03-C26-S06,train robbery proposed,CH26-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S01-001,B03-C27-S01,Train layout reviewed,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S01-002,B03-C27-S01,derailment rejected,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S01-003,B03-C27-S01,boarding strategy formed,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S02-003,B03-C27-S02,zip-line route assessed,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S02-004,B03-C27-S02,Aleksei jumps,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S03-001,B03-C27-S03,Aleksei disables turret,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S03-002,B03-C27-S03,Margot and others zip-line aboard,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S03-003,B03-C27-S03,Jonah destroys mounted gun,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S03-004,B03-C27-S03,hatch decoded,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S04-001,B03-C27-S04,Server-car firefight,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S04-002,B03-C27-S04,Shock Troopers defeated,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S04-003,B03-C27-S04,telemetry examined,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S04-004,B03-C27-S04,Jackson Harrow identified as fuel,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S05-001,B03-C27-S05,Jonah charges through sleeper car,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S05-002,B03-C27-S05,guards defeated,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C27-S05-004,B03-C27-S05,dam collision announced,CH27-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S01-001,B03-C28-S01,Jonah fights Valerius,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S01-002,B03-C28-S01,Margot attacks Jackson's tank,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S01-003,B03-C28-S01,throttle control is destroyed,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S02-001,B03-C28-S02,Roof combat,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S02-002,B03-C28-S02,coupling pin removed,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S02-003,B03-C28-S02,safety-chain problem revealed,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S03-001,B03-C28-S03,Margot breaks tank,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S03-002,B03-C28-S03,Jackson freed,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S03-004,B03-C28-S03,Jonah tackles Valerius,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S04-001,B03-C28-S04,Safety chain severed,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S04-002,B03-C28-S04,rear train brakes,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S04-004,B03-C28-S04,locomotive reaches dam wall,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S05-001,B03-C28-S05,Locomotive crashes,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S05-002,B03-C28-S05,engine enters reservoir,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S05-003,B03-C28-S05,survivors reach surface,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S05-004,B03-C28-S05,dam holds despite cracking,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S06-001,B03-C28-S06,Jonah shifts human,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S06-002,B03-C28-S06,Jackson remains wolf but regains awareness,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S06-003,B03-C28-S06,father-son contact,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C28-S06-004,B03-C28-S06,town status checked,CH28-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S01-001,B03-C29-S01,Return walk,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S01-004,B03-C29-S01,Jonah ordered to paramedics,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S02-002,B03-C29-S02,betrayal confessed,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S02-003,B03-C29-S02,Margot condemns him,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S03-002,B03-C29-S03,Margot invokes Charter and House Rules,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S04-001,B03-C29-S04,Fire absorbed,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S04-002,B03-C29-S04,gravity blocked,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S04-004,B03-C29-S04,access revoked,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S05-001,B03-C29-S05,Bullet becomes paper moth,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S05-003,B03-C29-S05,pilot surrenders,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S06-002,B03-C29-S06,Jackson receives care,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S06-003,B03-C29-S06,victory acknowledged,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C29-S06-004,B03-C29-S06,pair return to library,CH29-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S01-001,B03-C30-S01,Businesses reopen,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S01-002,B03-C30-S01,supernatural residents work openly,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S01-003,B03-C30-S01,journalists remain,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S01-004,B03-C30-S01,Silas gives interviews,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S01-005,B03-C30-S01,library doors become transparent,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S02-002,B03-C30-S02,Integration Act and Special Administrative Zone established,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S02-003,B03-C30-S02,Margot named Administrator,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S03-001,B03-C30-S03,Cabin restored,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S03-002,B03-C30-S03,no-more-secrets agreement,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S03-003,B03-C30-S03,consensual intimacy,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S04-001,B03-C30-S04,Coffee conversation,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S04-002,B03-C30-S04,old badge transferred,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S05-001,B03-C30-S05,Council meeting,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S05-002,B03-C30-S05,school and blood-drive agenda,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S05-003,B03-C30-S05,statue unveiled,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S05-004,B03-C30-S05,Silas presides as Speaker,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S06-001,B03-C30-S06,Black sedan arrives,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S06-002,B03-C30-S06,Cian confronts Aleksei,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S06-003,B03-C30-S06,father-survival tease,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C30-S06-004,B03-C30-S06,Necronomicon request,CH30-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
