membership_id,event_id,child_thread_id,parent_thread_id,membership_strength,assignment_score,assignment_basis,source_scene_id,canonical_status,review_status
ETM-00171,N-EVT-B03-C12-S01-003,PT-C01,PT-P01,primary,4,continuity-group:TREATY-CUSTODY;label:treaty,B03-C12-S01,candidate,high-confidence
ETM-00172,N-EVT-B03-C12-S05-004,PT-C04,PT-P02,primary,4,continuity-group:MATE-BOND;label:pack,B03-C12-S05,candidate,high-confidence
ETM-00173,N-EVT-B03-C12-S05-005,PT-C04,PT-P02,primary,3,continuity-group:MATE-BOND,B03-C12-S05,candidate,reviewable
ETM-00174,N-EVT-B03-C14-S03-002,PT-C05,PT-P03,primary,4,continuity-group:FINAL-CONFRONTATION;label:sterling,B03-C14-S03,candidate,high-confidence
ETM-00175,N-EVT-B03-C14-S03-003,PT-C01,PT-P01,primary,3,continuity-group:FOUNDING-TRUTH,B03-C14-S03,candidate,reviewable
ETM-00176,N-EVT-B03-C14-S04-002,PT-C05,PT-P03,primary,4,continuity-group:FINAL-CONFRONTATION;label:sterling,B03-C14-S04,candidate,high-confidence
ETM-00177,N-EVT-B03-C14-S05-004,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-ESCALATION;label:love,B03-C14-S05,candidate,high-confidence
ETM-00178,N-EVT-B03-C14-S05-005,PT-C06,PT-P03,primary,4,continuity-group:MAGISTERIUM-OCCUPATION;label:magisterium,B03-C14-S05,candidate,high-confidence
ETM-00179,N-EVT-B03-C15-S01-001,PT-C10,PT-P05,primary,3,continuity-group:GUNSHIP-BATTLE,B03-C15-S01,candidate,reviewable
ETM-00180,N-EVT-B03-C15-S01-002,PT-C06,PT-P03,primary,3,continuity-group:MAGISTERIUM-OCCUPATION,B03-C15-S01,candidate,reviewable
ETM-00181,N-EVT-B03-C15-S01-003,PT-C08,PT-P04,primary,4,continuity-group:EMITTER-SABOTAGE;label:dampening,B03-C15-S01,candidate,high-confidence
ETM-00182,N-EVT-B03-C15-S02-001,PT-C06,PT-P03,primary,4,continuity-group:MAGISTERIUM-OCCUPATION;label:martial law,B03-C15-S02,candidate,high-confidence
ETM-00183,N-EVT-B03-C15-S02-004,PT-C06,PT-P03,primary,4,continuity-group:MAGISTERIUM-OCCUPATION;label:sanitization,B03-C15-S02,candidate,high-confidence
ETM-00184,N-EVT-B03-C16-S02-004,PT-C08,PT-P04,primary,5,continuity-group:EMITTER-SABOTAGE;label:emitter|resort,B03-C16-S02,candidate,high-confidence
ETM-00185,N-EVT-B03-C16-S04-001,PT-C08,PT-P04,primary,4,continuity-group:EMITTER-SABOTAGE;label:emitter,B03-C16-S04,candidate,high-confidence
ETM-00186,N-EVT-B03-C16-S04-002,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-ESCALATION;label:mate,B03-C16-S04,candidate,high-confidence
ETM-00187,N-EVT-B03-C16-S05-003,PT-C01,PT-P01,primary,4,continuity-group:FOUNDING-TRUTH;label:treaty,B03-C16-S05,candidate,high-confidence
ETM-00188,N-EVT-B03-C16-S05-006,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-ESCALATION;label:kiss,B03-C16-S05,candidate,high-confidence
ETM-00189,N-EVT-B03-C17-S01-001,PT-C08,PT-P04,primary,3,continuity-group:RESORT-INFILTRATION,B03-C17-S01,candidate,reviewable
ETM-00190,N-EVT-B03-C17-S02-003,PT-C08,PT-P04,primary,3,continuity-group:RESORT-INFILTRATION,B03-C17-S02,candidate,reviewable
ETM-00191,N-EVT-B03-C17-S03-001,PT-C08,PT-P04,primary,3,continuity-group:RESORT-INFILTRATION,B03-C17-S03,candidate,reviewable
ETM-00192,N-EVT-B03-C17-S03-002,PT-C06,PT-P03,primary,4,continuity-group:MAGISTERIUM-OCCUPATION;label:sanitization,B03-C17-S03,candidate,high-confidence
ETM-00193,N-EVT-B03-C17-S05-001,PT-C08,PT-P04,primary,4,continuity-group:EMITTER-SABOTAGE;label:tower,B03-C17-S05,candidate,high-confidence
ETM-00194,N-EVT-B03-C17-S05-004,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C17-S05,candidate,reviewable
ETM-00195,N-EVT-B03-C18-S03-005,PT-C11,PT-P05,primary,4,continuity-group:CURE-DELIVERY;label:cure,B03-C18-S03,candidate,high-confidence
ETM-00196,N-EVT-B03-C18-S05-001,PT-C10,PT-P05,primary,4,continuity-group:GUNSHIP-BATTLE;label:gunship,B03-C18-S05,candidate,high-confidence
ETM-00197,N-EVT-B03-C18-S05-003,PT-C10,PT-P05,primary,3,continuity-group:ARCHIVES-DEFENSE,B03-C18-S05,candidate,reviewable
ETM-00198,N-EVT-B03-C18-S05-004,PT-C10,PT-P05,primary,4,continuity-group:ARCHIVES-DEFENSE;label:ballista,B03-C18-S05,candidate,high-confidence
ETM-00199,N-EVT-B03-C19-S01-001,PT-C10,PT-P05,primary,4,continuity-group:GUNSHIP-BATTLE;label:gunship,B03-C19-S01,candidate,high-confidence
ETM-00200,N-EVT-B03-C19-S04-001,PT-C03,PT-P01,primary,2,label:b1|b3,B03-C19-S04,candidate,reviewable
ETM-00201,N-EVT-B03-C19-S04-003,PT-C10,PT-P05,primary,4,continuity-group:ARCHIVES-DEFENSE;label:ballista,B03-C19-S04,candidate,high-confidence
ETM-00202,N-EVT-B03-C19-S05-001,PT-C10,PT-P05,primary,4,continuity-group:ARCHIVES-DEFENSE;label:ballista,B03-C19-S05,candidate,high-confidence
ETM-00203,N-EVT-B03-C19-S05-002,PT-C10,PT-P05,primary,4,continuity-group:GUNSHIP-BATTLE;label:gunship,B03-C19-S05,candidate,high-confidence
ETM-00204,N-EVT-B03-C20-S01-003,PT-C09,PT-P04,primary,5,continuity-group:WILD-HUNT;label:valerius|grey guard,B03-C20-S01,candidate,high-confidence
ETM-00205,N-EVT-B03-C20-S03-003,PT-C09,PT-P04,primary,4,continuity-group:WILD-HUNT;label:wild hunt,B03-C20-S03,candidate,high-confidence
ETM-00206,N-EVT-B03-C21-S03-003,PT-C10,PT-P05,primary,3,continuity-group:ARCHIVES-DEFENSE,B03-C21-S03,candidate,reviewable
ETM-00207,N-EVT-B03-C21-S04-002,PT-C07,PT-P04,primary,3,continuity-group:RESISTANCE-MISSION,B03-C21-S04,candidate,reviewable
ETM-00208,N-EVT-B03-C21-S04-004,PT-C01,PT-P01,primary,3,continuity-group:TREATY-CUSTODY,B03-C21-S04,candidate,reviewable
ETM-00209,N-EVT-B03-C21-S05-002,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C21-S05,candidate,reviewable
ETM-00210,N-EVT-B03-C21-S06-001,PT-C09,PT-P04,primary,4,continuity-group:WILD-HUNT;label:grey guard,B03-C21-S06,candidate,high-confidence
ETM-00211,N-EVT-B03-C21-S06-003,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C21-S06,candidate,reviewable
ETM-00212,N-EVT-B03-C22-S01-001,PT-C09,PT-P04,primary,4,continuity-group:WILD-HUNT;label:grey guard,B03-C22-S01,candidate,high-confidence
ETM-00213,N-EVT-B03-C22-S02-002,PT-C09,PT-P04,primary,4,continuity-group:WILD-HUNT;label:grey guard,B03-C22-S02,candidate,high-confidence
ETM-00214,N-EVT-B03-C22-S03-003,PT-C09,PT-P04,primary,4,continuity-group:WILD-HUNT;label:grey guard,B03-C22-S03,candidate,high-confidence
ETM-00215,N-EVT-B03-C22-S03-004,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C22-S03,candidate,reviewable
ETM-00216,N-EVT-B03-C22-S04-001,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C22-S04,candidate,reviewable
ETM-00217,N-EVT-B03-C22-S04-003,PT-C01,PT-P01,primary,3,continuity-group:TREATY-CUSTODY,B03-C22-S04,candidate,reviewable
ETM-00218,N-EVT-B03-C23-S06-003,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C23-S06,candidate,reviewable
ETM-00219,N-EVT-B03-C24-S01-004,PT-C07,PT-P04,primary,3,continuity-group:RESISTANCE-MISSION,B03-C24-S01,candidate,reviewable
ETM-00220,N-EVT-B03-C24-S04-001,PT-C07,PT-P04,primary,2,label:town|witnesses,B03-C24-S04,candidate,reviewable
ETM-00221,N-EVT-B03-C25-S02-004,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C25-S02,candidate,reviewable
ETM-00222,N-EVT-B03-C25-S04-001,PT-C09,PT-P04,primary,4,continuity-group:WILD-HUNT;label:grey guard,B03-C25-S04,candidate,high-confidence
ETM-00223,N-EVT-B03-C25-S05-003,PT-C07,PT-P04,primary,3,continuity-group:RESISTANCE-MISSION,B03-C25-S05,candidate,reviewable
ETM-00224,N-EVT-B03-C25-S06-002,PT-C11,PT-P05,primary,4,continuity-group:CURE-DELIVERY;label:antiviral,B03-C25-S06,candidate,high-confidence
ETM-00225,N-EVT-B03-C27-S01-004,PT-C08,PT-P04,primary,4,continuity-group:EMITTER-SABOTAGE;label:tower,B03-C27-S01,candidate,high-confidence
ETM-00226,N-EVT-B03-C27-S02-001,PT-C08,PT-P04,primary,4,continuity-group:EMITTER-SABOTAGE;label:tower,B03-C27-S02,candidate,high-confidence
ETM-00227,N-EVT-B03-C27-S02-002,PT-C10,PT-P05,primary,4,continuity-group:IRON-HORSE;label:iron horse,B03-C27-S02,candidate,high-confidence
ETM-00228,N-EVT-B03-C27-S05-003,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C27-S05,candidate,reviewable
ETM-00229,N-EVT-B03-C28-S03-003,PT-C08,PT-P04,primary,4,continuity-group:EMITTER-SABOTAGE;label:emitter,B03-C28-S03,candidate,high-confidence
ETM-00230,N-EVT-B03-C28-S04-003,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C28-S04,candidate,reviewable
ETM-00231,N-EVT-B03-C29-S01-002,PT-C10,PT-P05,primary,3,continuity-group:GUNSHIP-BATTLE,B03-C29-S01,candidate,reviewable
ETM-00232,N-EVT-B03-C29-S01-003,PT-C01,PT-P01,primary,4,continuity-group:FOUNDING-TRUTH;label:founding,B03-C29-S01,candidate,high-confidence
ETM-00233,N-EVT-B03-C29-S02-001,PT-C05,PT-P03,primary,4,continuity-group:FINAL-CONFRONTATION;label:sterling,B03-C29-S02,candidate,high-confidence
ETM-00234,N-EVT-B03-C29-S03-001,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C29-S03,candidate,reviewable
ETM-00235,N-EVT-B03-C29-S04-003,PT-C10,PT-P05,primary,3,continuity-group:GUNSHIP-BATTLE,B03-C29-S04,candidate,reviewable
ETM-00236,N-EVT-B03-C29-S05-002,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C29-S05,candidate,reviewable
ETM-00237,N-EVT-B03-C29-S06-001,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C29-S06,candidate,reviewable
ETM-00238,N-EVT-B03-C30-S02-001,PT-C05,PT-P03,primary,3,continuity-group:FINAL-CONFRONTATION,B03-C30-S02,candidate,reviewable
ETM-00239,N-EVT-B03-C30-S03-004,PT-C04,PT-P02,primary,5,continuity-group:RELATIONSHIP-ESCALATION;label:love|bond,B03-C30-S03,candidate,high-confidence
ETM-00240,N-EVT-B03-C30-S04-003,PT-C07,PT-P04,primary,3,continuity-group:RESISTANCE-MISSION,B03-C30-S04,candidate,reviewable
ETM-00241,N-EVT-B03-C30-S06-005,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-ESCALATION;label:kiss,B03-C30-S06,candidate,high-confidence
